sweep,filename,rpot_ohm,rpot_residual_pct,max_v
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.546516
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.546242
sweep back,trace1.csv,2.38,0.357,6.542683
sweep back,trace1.csv,2.38,0.357,6.548706
sweep back,trace1.csv,2.38,0.357,6.545968
sweep back,trace1.csv,2.38,0.357,6.540766
sweep back,trace1.csv,2.38,0.357,6.538028
sweep back,trace1.csv,2.38,0.357,6.547885
sweep back,trace1.csv,2.38,0.357,6.551992
sweep back,trace1.csv,2.38,0.357,6.560481
sweep back,trace1.csv,2.38,0.357,6.552814
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.538849
sweep back,trace1.csv,2.38,0.357,6.543778
sweep back,trace1.csv,2.38,0.357,6.552814
sweep back,trace1.csv,2.38,0.357,6.535563
sweep back,trace1.csv,2.38,0.357,6.535563
sweep back,trace1.csv,2.38,0.357,6.547885
sweep back,trace1.csv,2.38,0.357,6.538575
sweep back,trace1.csv,2.38,0.357,6.538575
sweep back,trace1.csv,2.38,0.357,6.545968
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.547885
sweep back,trace1.csv,2.38,0.357,6.542683
sweep back,trace1.csv,2.38,0.357,6.551171
sweep back,trace1.csv,2.38,0.357,6.551445
sweep back,trace1.csv,2.38,0.357,6.551445
sweep back,trace1.csv,2.38,0.357,6.536385
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.546242
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.552266
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.551992
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.563766
sweep back,trace1.csv,2.38,0.357,6.569516
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.549528
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.543778
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.551171
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.546516
sweep back,trace1.csv,2.38,0.357,6.551171
sweep back,trace1.csv,2.38,0.357,6.549802
sweep back,trace1.csv,2.38,0.357,6.550076
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542683
sweep back,trace1.csv,2.38,0.357,6.553635
sweep back,trace1.csv,2.38,0.357,6.544599
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542956
sweep back,trace1.csv,2.38,0.357,6.556921
sweep back,trace1.csv,2.38,0.357,6.567874
sweep back,trace1.csv,2.38,0.357,6.549802
sweep back,trace1.csv,2.38,0.357,6.545421
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.538575
sweep back,trace1.csv,2.38,0.357,6.538575
sweep back,trace1.csv,2.38,0.357,6.561576
sweep back,trace1.csv,2.38,0.357,6.549528
sweep back,trace1.csv,2.38,0.357,6.545968
sweep back,trace1.csv,2.38,0.357,6.550076
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.530635
sweep back,trace1.csv,2.38,0.357,6.547885
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.559385
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.549802
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.541313
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540766
sweep back,trace1.csv,2.38,0.357,6.534742
sweep back,trace1.csv,2.38,0.357,6.545421
sweep back,trace1.csv,2.38,0.357,6.551992
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.547885
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.540492
sweep back,trace1.csv,2.38,0.357,6.551171
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.542135
sweep back,trace1.csv,2.38,0.357,6.557195
sweep back,trace1.csv,2.38,0.357,6.540492
