sweep,filename,rpot_ohm,rpot_residual_pct,max_v
sweep forward,trace9.csv,881.4,4.925,-3.293596
sweep forward,trace9.csv,881.4,4.925,-3.294117
sweep forward,trace9.csv,881.4,4.925,-3.294973
sweep forward,trace9.csv,881.4,4.925,-3.293303
sweep forward,trace9.csv,881.4,4.925,-3.293183
sweep forward,trace9.csv,881.4,4.925,-3.294344
sweep forward,trace9.csv,881.4,4.925,-3.295043
sweep forward,trace9.csv,881.4,4.925,-3.294766
sweep forward,trace9.csv,881.4,4.925,-3.294313
sweep forward,trace9.csv,881.4,4.925,-3.293591
sweep forward,trace9.csv,881.4,4.925,-3.295006
sweep forward,trace9.csv,881.4,4.925,-3.291486
sweep forward,trace9.csv,881.4,4.925,-3.294276
sweep forward,trace9.csv,881.4,4.925,-3.294396
sweep forward,trace9.csv,881.4,4.925,-3.295448
sweep forward,trace9.csv,881.4,4.925,-3.292596
sweep forward,trace9.csv,881.4,4.925,-3.294144
sweep forward,trace9.csv,881.4,4.925,-3.293957
sweep forward,trace9.csv,881.4,4.925,-3.29436
sweep forward,trace9.csv,881.4,4.925,-3.294513
sweep forward,trace9.csv,881.4,4.925,-3.293539
sweep forward,trace9.csv,881.4,4.925,-3.294416
sweep forward,trace9.csv,881.4,4.925,-3.294367
sweep forward,trace9.csv,881.4,4.925,-3.294086
sweep forward,trace9.csv,881.4,4.925,-3.293687
sweep forward,trace9.csv,881.4,4.925,-3.295515
sweep forward,trace9.csv,881.4,4.925,-3.294502
sweep forward,trace9.csv,881.4,4.925,-3.295278
sweep forward,trace9.csv,881.4,4.925,-3.292843
sweep forward,trace9.csv,881.4,4.925,-3.29381
sweep forward,trace9.csv,881.4,4.925,-3.293886
sweep forward,trace9.csv,881.4,4.925,-3.294128
sweep forward,trace9.csv,881.4,4.925,-3.29207
sweep forward,trace9.csv,881.4,4.925,-3.293334
sweep forward,trace9.csv,881.4,4.925,-3.294036
sweep forward,trace9.csv,881.4,4.925,-3.292606
sweep forward,trace9.csv,881.4,4.925,-3.292574
sweep forward,trace9.csv,881.4,4.925,-3.29468
sweep forward,trace9.csv,881.4,4.925,-3.294004
sweep forward,trace9.csv,881.4,4.925,-3.292391
sweep forward,trace9.csv,881.4,4.925,-3.293829
sweep forward,trace9.csv,881.4,4.925,-3.294688
sweep forward,trace9.csv,881.4,4.925,-3.295413
sweep forward,trace9.csv,881.4,4.925,-3.293286
sweep forward,trace9.csv,881.4,4.925,-3.295617
sweep forward,trace9.csv,881.4,4.925,-3.295621
sweep forward,trace9.csv,881.4,4.925,-3.295014
sweep forward,trace9.csv,881.4,4.925,-3.295591
sweep forward,trace9.csv,881.4,4.925,-3.293246
sweep forward,trace9.csv,881.4,4.925,-3.293341
sweep forward,trace9.csv,881.4,4.925,-3.295263
sweep forward,trace9.csv,881.4,4.925,-3.292767
sweep forward,trace9.csv,881.4,4.925,-3.294653
sweep forward,trace9.csv,881.4,4.925,-3.29608
sweep forward,trace9.csv,881.4,4.925,-3.294842
sweep forward,trace9.csv,881.4,4.925,-3.294157
sweep forward,trace9.csv,881.4,4.925,-3.294156
sweep forward,trace9.csv,881.4,4.925,-3.293838
sweep forward,trace9.csv,881.4,4.925,-3.29224
sweep forward,trace9.csv,881.4,4.925,-3.292029
sweep forward,trace9.csv,881.4,4.925,-3.294694
sweep forward,trace9.csv,881.4,4.925,-3.291553
sweep forward,trace9.csv,881.4,4.925,-3.294256
sweep forward,trace9.csv,881.4,4.925,-3.294211
sweep forward,trace9.csv,881.4,4.925,-3.293922
sweep forward,trace9.csv,881.4,4.925,-3.294567
sweep forward,trace9.csv,881.4,4.925,-3.29524
sweep forward,trace9.csv,881.4,4.925,-3.29379
sweep forward,trace9.csv,881.4,4.925,-3.292465
sweep forward,trace9.csv,881.4,4.925,-3.294808
sweep forward,trace9.csv,881.4,4.925,-3.293931
sweep forward,trace9.csv,881.4,4.925,-3.293092
sweep forward,trace9.csv,881.4,4.925,-3.293669
sweep forward,trace9.csv,881.4,4.925,-3.294744
sweep forward,trace9.csv,881.4,4.925,-3.294814
sweep forward,trace9.csv,881.4,4.925,-3.296131
sweep forward,trace9.csv,881.4,4.925,-3.294682
sweep forward,trace9.csv,881.4,4.925,-3.293879
sweep forward,trace9.csv,881.4,4.925,-3.294639
sweep forward,trace9.csv,881.4,4.925,-3.295475
sweep forward,trace9.csv,881.4,4.925,-3.295125
